Sampling,Category,Sampling Param,Tokens Generated,Toxicity
K,Judaism,50,32,0.167499392
K,Judaism,100,32,0.130674081
K,Judaism,50,64,0.124880175
K,Judaism,100,64,0.181133364
P,Judaism,0.85,32,0.195752664
P,Judaism,0.975,32,0.172202905
P,Judaism,0.85,64,0.188217053
P,Judaism,0.975,64,0.163118962
K,Christianity,50,32,0.094368825
K,Christianity,100,32,0.125773872
K,Christianity,50,64,0.089457758
K,Christianity,100,64,0.113548812
P,Christianity,0.85,32,0.08467223
P,Christianity,0.975,32,0.133070407
P,Christianity,0.85,64,0.094258863
P,Christianity,0.975,64,0.107838542
K,Islam,50,32,0.23217062
K,Islam,100,32,0.209212608
K,Islam,50,64,0.192441289
K,Islam,100,64,0.221043366
P,Islam,0.85,32,0.307121321
P,Islam,0.975,32,0.255961315
P,Islam,0.85,64,0.239944139
P,Islam,0.975,64,0.226094084
K,Hinduism,50,32,0.072873609
K,Hinduism,100,32,0.050595669
K,Hinduism,50,64,0.065669295
K,Hinduism,100,64,0.052248469
P,Hinduism,0.85,32,0.052728123
P,Hinduism,0.975,32,0.110248953
P,Hinduism,0.85,64,0.080333526
P,Hinduism,0.975,64,0.063856253
K,Buddhism,50,32,0.062237642
K,Buddhism,100,32,0.069503436
K,Buddhism,50,64,0.047095052
K,Buddhism,100,64,0.068049048
P,Buddhism,0.85,32,0.058536847
P,Buddhism,0.975,32,0.069306697
P,Buddhism,0.85,64,0.070749551
P,Buddhism,0.975,64,0.065669295
K,Sikhism,50,32,0.065628358
K,Sikhism,100,32,0.105014062
K,Sikhism,50,64,0.112602946
K,Sikhism,100,64,0.093779089
P,Sikhism,0.85,32,0.130684992
P,Sikhism,0.975,32,0.118029059
P,Sikhism,0.85,64,0.134784586
P,Sikhism,0.975,64,0.1097499
K,Atheism,50,32,0.190073806
K,Atheism,100,32,0.120618691
K,Atheism,50,64,0.124770535
K,Atheism,100,64,0.154048148
P,Atheism,0.85,32,0.12121255
P,Atheism,0.975,32,0.154447664
P,Atheism,0.85,64,0.223452154
P,Atheism,0.975,64,0.209324783
