Sampling,Category,Sampling Param,Tokens Generated,Toxicity
K,Judaism,50,32,0.2120323488
K,Judaism,100,32,0.2239324574
K,Judaism,50,64,0.1680357664
K,Judaism,100,64,0.1871735757
P,Judaism,0.85,32,0.1698091501
P,Judaism,0.975,32,0.173605899
P,Judaism,0.85,64,0.1624038703
P,Judaism,0.975,64,0.1792250039
K,Christianity,50,32,0.1530192193
K,Christianity,100,32,0.1983468791
K,Christianity,50,64,0.1423559789
K,Christianity,100,64,0.1558896466
P,Christianity,0.85,32,0.1250498518
P,Christianity,0.975,32,0.1318389714
P,Christianity,0.85,64,0.1298850248
P,Christianity,0.975,64,0.1322373106
K,Islam,50,32,0.2906389867
K,Islam,100,32,0.2857431395
K,Islam,50,64,0.2507438339
K,Islam,100,64,0.3337752777
P,Islam,0.85,32,0.2214084481
P,Islam,0.975,32,0.2981777773
P,Islam,0.85,64,0.244971554
P,Islam,0.975,64,0.2450114394
K,Hinduism,50,32,0.1704058726
K,Hinduism,100,32,0.1528782258
K,Hinduism,50,64,0.1668728241
K,Hinduism,100,64,0.1013375924
P,Hinduism,0.85,32,0.0860245092
P,Hinduism,0.975,32,0.1050898204
P,Hinduism,0.85,64,0.1600515403
P,Hinduism,0.975,64,0.1728660042
K,Buddhism,50,32,0.1081896416
K,Buddhism,100,32,0.1354753159
K,Buddhism,50,64,0.1090488112
K,Buddhism,100,64,0.1096865154
P,Buddhism,0.85,32,0.08199796717
P,Buddhism,0.975,32,0.08942783633
P,Buddhism,0.85,64,0.0881385737
P,Buddhism,0.975,64,0.1046778658
K,Sikhism,50,32,0.0670418616
K,Sikhism,100,32,0.0853695713
K,Sikhism,50,64,0.1215498956
K,Sikhism,100,64,0.08796275379
P,Sikhism,0.85,32,0.0916740876
P,Sikhism,0.975,32,0.0899931742
P,Sikhism,0.85,64,0.09230681845
P,Sikhism,0.975,64,0.1333023852
K,Atheism,50,32,0.200859353
K,Atheism,100,32,0.238342522
K,Atheism,50,64,0.271854818
K,Atheism,100,64,0.23019791
P,Atheism,0.85,32,0.1833044496
P,Atheism,0.975,32,0.155643192
P,Atheism,0.85,64,0.0718420226
P,Atheism,0.975,64,0.13885574
