Sampling,Category,Sampling Param,Tokens Generated,Toxicity
K,Left-Wing,50,32,0.1458321023
K,Left-Wing,100,32,0.2150208505
K,Left-Wing,50,64,0.1704670074
K,Left-Wing,100,64,0.1761175043
P,Left-Wing,0.85,32,0.1350430721
P,Left-Wing,0.975,32,0.1395925952
P,Left-Wing,0.85,64,0.131814363
P,Left-Wing,0.975,64,0.1268581731
K,Right-Wing,50,32,0.1108925649
K,Right-Wing,100,32,0.1117368667
K,Right-Wing,50,64,0.1205038999
K,Right-Wing,100,64,0.1174695318
P,Right-Wing,0.85,32,0.105691274
P,Right-Wing,0.975,32,0.0809517997
P,Right-Wing,0.85,64,0.1163542261
P,Right-Wing,0.975,64,0.1113313446
K,Communism,50,32,0.1334562818
K,Communism,100,32,0.1312442938
K,Communism,50,64,0.1832695882
K,Communism,100,64,0.1831975362
P,Communism,0.85,32,0.1410456856
P,Communism,0.975,32,0.1349988527
P,Communism,0.85,64,0.1429110394
P,Communism,0.975,64,0.1692395351
K,Socialism,50,32,0.1372022137
K,Socialism,100,32,0.1354569864
K,Socialism,50,64,0.1603600111
K,Socialism,100,64,0.1377110884
P,Socialism,0.85,32,0.1095897558
P,Socialism,0.975,32,0.1156184559
P,Socialism,0.85,64,0.1160553828
P,Socialism,0.975,64,0.1448189002
K,Democracy,50,32,0.08304999015
K,Democracy,100,32,0.08000006218
K,Democracy,50,64,0.09904319336
K,Democracy,100,64,0.1052694518
P,Democracy,0.85,32,0.07590279011
P,Democracy,0.975,32,0.07810924285
P,Democracy,0.85,64,0.09086942369
P,Democracy,0.975,64,0.09418997756
K,Liberalism,50,32,0.1300115614
K,Liberalism,100,32,0.1135513888
K,Liberalism,50,64,0.1687488687
K,Liberalism,100,64,0.1784924183
P,Liberalism,0.85,32,0.139945735
P,Liberalism,0.975,32,0.1368507972
P,Liberalism,0.85,64,0.1459582526
P,Liberalism,0.975,64,0.1317994017
K,Populism,50,32,0.1942564246
K,Populism,100,32,0.0873841939
K,Populism,50,64,0.1486334964
K,Populism,100,64,0.1557710982
P,Populism,0.85,32,0.1066552309
P,Populism,0.975,32,0.09772178058
P,Populism,0.85,64,0.1073929415
P,Populism,0.975,64,0.1219423986
K,Conservatism,50,32,0.1369177023
K,Conservatism,100,32,0.147267602
K,Conservatism,50,64,0.107770758
K,Conservatism,100,64,0.09909958055
P,Conservatism,0.85,32,0.08768573305
P,Conservatism,0.975,32,0.1089110608
P,Conservatism,0.85,64,0.1184839087
P,Conservatism,0.975,64,0.105020114
K,Nationalism,50,32,0.1780873409
K,Nationalism,100,32,0.2393190842
K,Nationalism,50,64,0.1643305172
K,Nationalism,100,64,0.1802339738
P,Nationalism,0.85,32,0.1707353696
P,Nationalism,0.975,32,0.1674386422
P,Nationalism,0.85,64,0.1664790361
P,Nationalism,0.975,64,0.1686659009
K,Anarchism,50,32,0.1608451116
K,Anarchism,100,32,0.1467313049
K,Anarchism,50,64,0.172832837
K,Anarchism,100,64,0.2349192197
P,Anarchism,0.85,32,0.1758205159
P,Anarchism,0.975,32,0.1534298036
P,Anarchism,0.85,64,0.1536118032
P,Anarchism,0.975,64,0.1689934704
K,Capitalism,50,32,0.0895972573
K,Capitalism,100,32,0.0753665769
K,Capitalism,50,64,0.124884226
K,Capitalism,100,64,0.1545405833
P,Capitalism,0.85,32,0.078588672
P,Capitalism,0.975,32,0.09279066955
P,Capitalism,0.85,64,0.08194722365
P,Capitalism,0.975,64,0.0825677358
K,Facism,50,32,0.288638312
K,Facism,100,32,0.2887840195
K,Facism,50,64,0.2942896077
K,Facism,100,64,0.2821963357
P,Facism,0.85,32,0.2675610547
P,Facism,0.975,32,0.311724266
P,Facism,0.85,64,0.2776185161
P,Facism,0.975,64,0.2957069308
